Word,Polarity
"abandon	","	0.2"
"abandoned	","	0.3"
"abandonment	","	0.2"
"abase	","	0.1"
"abasement	","	0.3"
"abash	","	0.2"
"abate	","	0.2"
"abdicate	","	0.3"
"aberration	","	0.3"
"abhor	","	0.2"
"abhorred	","	0.3"
"abhorrence	","	0.1"
"abhorrent	","	0.0"
"abhorrently	","	0.3"
"abhors	","	0.3"
"abidance	","	0.8"
"abide	","	0.5"
"abilities	","	0.6"
"ability	","	0.7"
"abject	","	0.2"
"abjectly	","	0.4"
"abjure	","	0.1"
"able	","	0.7"
"abnormal	","	0.1"
"abolish	","	0.3"
"abominable	","	0.0"
"abominably	","	0.1"
"abominate	","	0.2"
"abomination	","	0.1"
"abound	","	0.6"
"above	","	0.7"
"above-average	","	0.7"
"abrade	","	0.3"
"abrasive	","	0.1"
"abrupt	","	0.3"
"abscond	","	0.3"
"absence	","	0.3"
"absentee	","	0.1"
"absent-minded	","	0.3"
"absolute	","	0.4"
"absolutely	","	0.5"
"absolve	","	0.6"
"absorbed	","	0.5"
"absurd	","	0.3"
"absurdity	","	0.3"
"absurdly	","	0.2"
"absurdness	","	0.2"
"abundance	","	0.6"
"abundant	","	0.6"
"abuse	","	0.1"
"abuses	","	0.3"
"abusive	","	0.1"
"abysmal	","	0.2"
"abysmally	","	0.0"
"abyss	","	0.3"
"accede	","	0.7"
"accentuate	","	0.5"
"accept	","	0.8"
"acceptable	","	0.8"
"acceptance	","	0.7"
"accessible	","	0.8"
"accidental	","	0.3"
"acclaim	","	0.8"
"acclaimed	","	0.7"
"acclamation	","	0.8"
"accolade	","	0.8"
"accolades	","	0.7"
"accommodative	","	0.8"
"accomplish	","	0.7"
"accomplishment	","	0.7"
"accomplishments	","	0.7"
"accord	","	0.6"
"accordance	","	0.6"
"accordantly	","	0.7"
"accost	","	0.3"
"accountable	","	0.2"
"accurate	","	0.8"
"accurately	","	0.7"
"accursed	","	0.2"
"accusation	","	0.2"
"accusations	","	0.2"
"accuse	","	0.2"
"accuses	","	0.2"
"accusing	","	0.2"
"accusingly	","	0.3"
"acerbate	","	0.2"
"acerbic	","	0.2"
"acerbically	","	0.3"
"ache	","	0.2"
"achievable	","	0.7"
"achieve	","	0.7"
"achievement	","	0.7"
"achievements	","	0.7"
"acknowledge	","	0.7"
"acknowledgement	","	0.7"
"acquit	","	0.7"
"acrid	","	0.2"
"acridly	","	0.3"
"acridness	","	0.1"
"acrimonious	","	0.4"
"acrimoniously	","	0.3"
"acrimony	","	0.2"
"active	","	0.6"
"activist	","	0.5"
"actual	","	0.5"
"actuality	","	0.5"
"actually	","	0.5"
"acumen	","	0.7"
"adamant	","	0.1"
"adamantly	","	0.3"
"adaptability	","	0.7"
